PAC 12 Insider 体育：,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungus-pac12-samsungtv-us/playlist.m3u8
Racing America 赛車：,https://racingamerica-plex.amagi.tv/playlist1080p.m3u8
Sky Sport 3：,https://donelfantastic.github.io/live/skysportsNz3.m3u8
Sky Sport 9：,https://donelfantastic.github.io/live/skysportsNz9.m3u8
TRACE Sports,https://lightning-tracesport-samsungau.amagi.tv/playlist1080p.m3u8
ZOOMOO兒童動畫：,https://amg01553-blueantmediaasi-zoomoonz-samsungnz-rdufn.amagi.tv/playlist/amg01553-blueantmediaasi-zoomoonz-samsungnz/playlist.m3u8
Discovery Channel英：,http://88.212.7.11/live/test_discovery_hd_hevc/playlist.m3u8
CJB TV韓國：,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
EBS Kids韓國：,http://ebsonair.ebs.co.kr/ebsufamilypc/familypc1m/playlist.m3u8
NTV News 24 日本：,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
Fashion TV：,http://91.247.68.229:8000/play/Fashion/index.m3u8
Fashion TV：,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
MTV HITS 音樂：,http://45.88.92.3:80/tr3_MTVHits_SD/index.m3u8?token=test
First Music Channel SD,http://hz1.teleport.cc/HLS/SD.m3u8
First Music Channel HD,http://hz1.teleport.cc/HLS/HD.m3u8
М2,http://live.m2.tv/hls3/720/stream.m3u8
耀才財經,https://v3.mediacast.hk/webcast/bshdlive-pc/playlist.m3u8
Z香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
☞凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
☞凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
☞TVB翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
无线翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=huali
☞无线星河,http://php.jdshipin.com:8880/TVOD/iptv.php?id=xinghe
☞TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
